"Coord for FPL Field 18"
"LPER   EVORA HOSPITAL                                                  383405N        0075409W        EVORA"
"LPFE   FAFE                                                            412723.1468N   0080816.9887W   FAFE"
"LPFR   FARO                                                            370051.9340N   0075757.2708W   FARO"
"LPFO    FARO - HOSPITAL DISTRITAL                                       370131.1476N   0075545.8828W   FARO"
"  Ident                             Name                   Latitude       Longitude                Served city"
"LPFA           FERREIRA DO ALENTEJO                  380220.6675N   0080615.2029W   FERREIRA DO ALENTEJO"
"LPFC           FIGUEIRA DOS CAVALEIROS               380439.4N      0081408.8W      FIGUEIRA DOS CAVALEIROS"
"LPFL           FLORES                                392728.9369N   0310755.7344W   FLORES"
"LPCC           FUNCHAL HOSPITAL DR. NELIO MENDONCA   323851.35N     0165525.55W     FUNCHAL"
"LPGR            GRACIOSA                              390532.5350N   0280142.8613W   SANTA CRUZ DA GRACIOSA"
"LPGA            GUARDA HOSPITAL                       403147.3308N   0071641.2291W   GUARDA"
"LPHB            HERDADE DA BRAVA HELIPORT             374143.32N     0073713.75W     MERTOLA"
"LPHR            HORTA                                 383111.6278N   0284258.9535W   HORTA"
"LPLA           LAJES                                 384542.6158N   0270526.8915W   ANGRA DO HEROISMO"
"LPJF           LEIRIA                                394656.2540N   0084911.2104W   GANDARA DOS OLIVAIS"
"LPLE           LEIRIA - HOSPITAL                     394439.7933N   0084735.2295W   LEIRIA"
"LPPT           LISBOA                                384627.0265N   0090802.5134W   LISBOA"
"LPSM            LISBOA HOSPITAL SANTA MARIA           384457.7050N   0090938.1641W   LISBOA"
"LPLO            LOULE HELIPORT                        370753.0465N   0080159.4197W   LOULE"
"LPLR           LOURES HOSPITAL HELIPORT              384919N        0091027W"
"LPLZ           LOUSA                                 400832N        0081424W        LOUSA"
"LPMC            MACEDO DE CAVALEIROS HELIPORT         413131.1537N   0065758.8942W   MACEDO DE CAVALEIROS"
"LPMA            MADEIRA                               324139.2998N   0164640.8833W   FUNCHAL"
"LPMP            MAFRA HELIPORT                        385634.9970N   0092113.9906W   MAFRA"
"LPDA            MASSARELOS HELIPORT                   410847.5N      0083756.6W      PORTO"
"LPPH            MATOSINHOS - HOSPITAL PEDRO HISPANO   411051.6624N   0083945.4508W   MATOSINHOS"
"LPMI            MIRANDELA                             412813.3670N   0071339.9552W   MIRANDELA"
"LPMD            MIRANDELA HOSPITAL                    412905.1738N   0071126.3627W   MIRANDELA"
"LPMU            MOGADOURO                             412340.0577N   0064104.3428W   MOGADOURO"
"LPMR            MONTE REAL                            394942.187N    0085314.549W    LEIRIA AND MONTE REAL"
"LPMT            MONTIJO                               384217.613N    0090215.423W    LISBOA AND MONTIJO"
"LPMB            MORGADO DE APRA HELIPORT              370859.4N      0075714.3W      LOULE"
"LPOT            OTA                                   390535.5N      0085719.6W      ALENQUER"
"LPOV            OVAR                                  405513.296N    0083837.630W    OVAR"
"LPPB           PAREDES - BALTAR HELIPORT             411124N        0082308W        PAREDES - BALTAR"
"LPPA            PENAFIEL HOSPITAL                     411144.9651N   0081835.7358W   PENAFIEL"
"LPPI           PICO                                  383315.6186N   0282628.8687W   VILA DA MADALENA"
"LPPD            PONTA DELGADA                         374431.088N    0254151.530W    PONTA DELGADA"
"LPES           PONTA DELGADA - HOSPITAL              374510.197N    0254034.404W    PONTA DELGADA"
"LPSO            PONTE DE SOR                          391242.2308N   0080327.6092W   PONTE DE SOR"
"LPPM            PORTIMAO                              370857.7775N   0083502.2920W   PORTIMAO"
"LPPR           PORTO / FRANCISCO SA CARNEIRO         411407.7075N   0084040.6266W   PORTO"
"LPMZ            PORTO MONIZ HELIPORT                  325201.18N     0170953.95W     PORTO MONIZ - MADEIRA"
"LPPS           PORTO SANTO                           330414.5278N   0162059.4216W   PORTO SANTO"
"LPPN            PROENCA-A-NOVA                        394352.4183N   0075228.7605W   PROENCA-A-NOVA"
"LPSA           SALEMAS HELIPORT                      385229.7N      0091142.1W      SALEMAS - LOUSA"
"LPCD            SANTA COMBA DAO HELIPORT              402354.5216N   0080802.9014W   SANTA COMBA DAO"
"LPSC           SANTA CRUZ                            390725.3154N   0092248.0676W   SANTA CRUZ"
"LPSG            SANTA MARGARIDA                       392406N        0081721W"
"LPAZ           SANTA MARIA                           365825.7221N   0251015.7692W   VILA DO PORTO"
"LPSS           SANTA MARIA DA FEIRA - HOSPITAL       405545.9061N   0083253.9832W   SANTA MARIA DA FEIRA"
"LPSR           SANTAREM - COSME PEDROGAO             391230.8561N   0084118.7748W   SANTAREM"
"LPSJ           SAO JORGE                             383954.84N     0281028.89W     VILA DAS VELAS"
"LPSD            SARDOAL HELIPORT                      393233.1485N   0080937.1875W   SARDOAL"
"LPSE           SEIA                                  402711.9559N   0074129.7245W   SEIA"
"LPSI           SINES HELIPORT                        375717.9195N   0085246.2868W   SINES"
"LPST           SINTRA                                385003N        0092028W        SINTRA"
"LPTN            TANCOS                                392832N        0082154W        ABRANTES AND TOMAR"
"LPTH            TOMAR HOSPITAL                        393637.9585N   0082342.8163W   TOMAR"
"LPNV            TORRES NOVAS HOSPITAL                 392809.7190N   0083213.9332W   SANTAREM"
"LPVC            VIANA DO CASTELO HOSPITAL             414151.7816N   0084953.3681W   VIANA DO CASTELO"
"LPXR           VILA FRANCA DE XIRA HOSPITAL          385839.80N     0085906.01W     VILA FRANCA DE XIRA"
"LPVR            VILA REAL                             411632.1710N   0074312.1788W   VILA REAL"
"LPVL           VILAR DE LUZ/MAIA                     411645.7519N   0083102.4583W   MAIA"
"LPVZ           VISEU                                 404332.0711N   0075320.5888W   VISEU"
"LPTT           VISEU HOSPITAL                        403856.3674N   0075420.9988W   VISEU"
"Effective date:   22-OCT-2021"
""
